reactKey,timeStr,type,time,overloadTime,eventId,player,homeScore,awayScore,profileUrl,overloadTimeStr,isHome,ownGoal,goalDescription,goalDescriptionKey,suffix,suffixKey,isPenaltyShootoutEvent,nameStr,firstName,lastName,fullName,playerId,newScore,penShootoutScore,shotmapEvent,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,goal_scorer,matchRound,HomeTeamId
1406489824Goal900433undefinedtrue,24,Goal,24,,14064898,"{'id': 900433, 'name': 'Khvicha Kvaratskhelia', 'profileUrl': '/players/900433/khvicha-kvaratskhelia'}",0,1,/players/900433/khvicha-kvaratskhelia,False,True,,,,,,False,Khvicha Kvaratskhelia,Khvicha,Kvaratskhelia,Khvicha Kvaratskhelia,900433,"[1, 1]",,"{'id': 2930811043, 'eventType': 'Goal', 'teamId': 9847, 'playerId': 900433, 'playerName': 'Khvicha Kvaratskhelia', 'x': 93.8, 'y': 44.841528658099996, 'min': 24, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 30.797499999999996, 'goalCrossedZ': 0.8539999958000001, 'expectedGoals': 0.06335479766130447, 'expectedGoalsOnTarget': 0.7593087553977966, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.8472222222222223, 'y': 0.22592592481481483, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 27299, 'firstName': 'Khvicha', 'lastName': 'Kvaratskhelia', 'fullName': 'Khvicha Kvaratskhelia', 'teamColor': '#273F6D'}",assist by Désiré Doué,/players/1339208/desire-doue,1339208.0,assist_by,Désiré Doué,Kvaratskhelia,1/2,9847
1406506656Goal900433undefinedtrue,56,Goal,56,,14065066,"{'id': 900433, 'name': 'Khvicha Kvaratskhelia', 'profileUrl': '/players/900433/khvicha-kvaratskhelia'}",3,2,/players/900433/khvicha-kvaratskhelia,False,True,,,,,,False,Khvicha Kvaratskhelia,Khvicha,Kvaratskhelia,Khvicha Kvaratskhelia,900433,"[4, 2]",,"{'id': 2930827989, 'eventType': 'Goal', 'teamId': 9847, 'playerId': 900433, 'playerName': 'Khvicha Kvaratskhelia', 'x': 92.4, 'y': 43.16, 'min': 56, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.21125, 'goalCrossedZ': 0.28252631440000003, 'expectedGoals': 0.09302430599927902, 'expectedGoalsOnTarget': 0.3227255642414093, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.41501322751322767, 'y': 0.07474241121693122, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 27299, 'firstName': 'Khvicha', 'lastName': 'Kvaratskhelia', 'fullName': 'Khvicha Kvaratskhelia', 'teamColor': '#273F6D'}",assist by Achraf Hakimi,/players/770881/achraf-hakimi,770881.0,assist_by,Achraf Hakimi,Kvaratskhelia,1/2,9847
1406491833Goal1342757undefinedtrue,33,Goal,33,,14064918,"{'id': 1342757, 'name': 'João Neves', 'profileUrl': '/players/1342757/joao-neves'}",1,1,/players/1342757/joao-neves,False,True,,Header,header,,,False,João Neves,João,Neves,João Neves,1342757,"[2, 1]",,"{'id': 2930814037, 'eventType': 'Goal', 'teamId': 9847, 'playerId': 1342757, 'playerName': 'João Neves', 'x': 98.3421052628, 'y': 38.536428573, 'min': 33, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 31.4075, 'goalCrossedZ': 0.7705263120000001, 'expectedGoals': 0.059312742203474045, 'expectedGoalsOnTarget': 0.6630491018295288, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.6858465608465611, 'y': 0.2038429396825397, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 27299, 'firstName': 'João', 'lastName': 'Neves', 'fullName': 'João Neves', 'teamColor': '#273F6D'}",assist by Ousmane Dembélé,/players/692984/ousmane-dembele,692984.0,assist_by,Ousmane Dembélé,Neves,1/2,9847
1406497045Goal692984undefinedtrue,45 + 5,Goal,45,5.0,14064970,"{'id': 692984, 'name': 'Ousmane Dembélé', 'profileUrl': '/players/692984/ousmane-dembele'}",2,2,/players/692984/ousmane-dembele,+5,True,,Penalty,penalty,Pen,penalties_short,False,Ousmane Dembélé,Ousmane,Dembélé,Ousmane Dembélé,692984,"[3, 2]",,"{'id': 2930818807, 'eventType': 'Goal', 'teamId': 9847, 'playerId': 692984, 'playerName': 'Ousmane Dembélé', 'x': 94, 'y': 34, 'min': 45, 'minAdded': 5, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 30.72125, 'goalCrossedZ': 0.8154736802, 'expectedGoals': 0.7884, 'expectedGoalsOnTarget': 0.6156143546104431, 'shotType': 'RightFoot', 'situation': 'Penalty', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.8673941798941804, 'y': 0.2157337778306878, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 27299, 'firstName': 'Ousmane', 'lastName': 'Dembélé', 'fullName': 'Ousmane Dembélé', 'teamColor': '#273F6D'}",,,,,,Dembélé,1/2,9847
1406508458Goal692984undefinedtrue,58,Goal,58,,14065084,"{'id': 692984, 'name': 'Ousmane Dembélé', 'profileUrl': '/players/692984/ousmane-dembele'}",4,2,/players/692984/ousmane-dembele,False,True,,,,,,False,Ousmane Dembélé,Ousmane,Dembélé,Ousmane Dembélé,692984,"[5, 2]",,"{'id': 2930828863, 'eventType': 'Goal', 'teamId': 9847, 'playerId': 692984, 'playerName': 'Ousmane Dembélé', 'x': 90.4, 'y': 44.1408917151, 'min': 58, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 37.12625, 'goalCrossedZ': 0.20547368320000003, 'expectedGoals': 0.07931309938430786, 'expectedGoalsOnTarget': 0.2876373827457428, 'shotType': 'RightFoot', 'situation': 'FastBreak', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.1729497354497358, 'y': 0.05435811724867726, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 27299, 'firstName': 'Ousmane', 'lastName': 'Dembélé', 'fullName': 'Ousmane Dembélé', 'teamColor': '#273F6D'}",assist by Désiré Doué,/players/1339208/desire-doue,1339208.0,assist_by,Désiré Doué,Dembélé,1/2,9847
1406799556Goal974753undefinedtrue,56,Goal,56,,14067995,"{'id': 974753, 'name': 'Julián Álvarez', 'profileUrl': '/players/974753/julian-alvarez'}",0,1,/players/974753/julian-alvarez,False,True,,Penalty,penalty,Pen,penalties_short,False,Julián Álvarez,Julián,Álvarez,Julián Álvarez,974753,"[1, 1]",,"{'id': 2931126377, 'eventType': 'Goal', 'teamId': 9906, 'playerId': 974753, 'playerName': 'Julián Álvarez', 'x': 94, 'y': 34, 'min': 56, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.2875, 'goalCrossedZ': 1.4254736772, 'expectedGoals': 0.7884, 'expectedGoalsOnTarget': 0.8493323922157288, 'shotType': 'RightFoot', 'situation': 'Penalty', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.39484126984126955, 'y': 0.3771094384126984, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 562727, 'firstName': 'Julián', 'lastName': 'Álvarez', 'fullName': 'Julián Álvarez', 'teamColor': '#C63527'}",,,Álvarez,1/2,9906
1407041687Goal576037undefinedtrue,87,Goal,87,,14070416,"{'id': 576037, 'name': 'Francisco Fydriszewski', 'profileUrl': '/players/576037/francisco-fydriszewski'}",0,0,/players/576037/francisco-fydriszewski,False,True,,,,,,False,Francisco Fydriszewski,Francisco,Fydriszewski,Francisco Fydriszewski,576037,"[1, 0]",,"{'id': 2931410569, 'eventType': 'Goal', 'teamId': 2528, 'playerId': 576037, 'playerName': 'Francisco Fydriszewski', 'x': 96.9912280694, 'y': 26.774047619, 'min': 87, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.551249999999996, 'goalCrossedZ': 2.1959999892, 'expectedGoals': 0.3153380751609802, 'expectedGoalsOnTarget': 0.8115336894989014, 'shotType': 'RightFoot', 'situation': 'FastBreak', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.3832671957671967, 'y': 0.5809523780952381, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1432703, 'firstName': 'Francisco', 'lastName': 'Fydriszewski', 'fullName': 'Francisco Fydriszewski', 'teamColor': '#E61D30'}",assist by John Montaño,/players/1512606/john-montano,1512606,assist_by,John Montaño,Fydriszewski,3,2528
1409465968Goal1398392undefinedtrue,68,Goal,68,,14094659,"{'id': 1398392, 'name': 'Thierno Barry', 'profileUrl': '/players/1398392/thierno-barry'}",0,1,/players/1398392/thierno-barry,False,True,,,,,,False,Thierno Barry,Thierno,Barry,Thierno Barry,1398392,"[1, 1]",,"{'id': 2933709265, 'eventType': 'Goal', 'teamId': 8668, 'playerId': 1398392, 'playerName': 'Thierno Barry', 'x': 95.640350876, 'y': 29.967857141, 'min': 68, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 35.6775, 'goalCrossedZ': 0.160526315, 'expectedGoals': 0.5125755071640015, 'expectedGoalsOnTarget': 0.6774211525917053, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.5562169312169307, 'y': 0.042467279100529096, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 618878, 'firstName': 'Thierno', 'lastName': 'Barry', 'fullName': 'Thierno Barry', 'teamColor': '#00359C'}",,,Barry,35,8668,,,
1409468881Goal1398392undefinedtrue,81,Goal,81,,14094688,"{'id': 1398392, 'name': 'Thierno Barry', 'profileUrl': '/players/1398392/thierno-barry'}",2,1,/players/1398392/thierno-barry,False,True,,,,,,False,Thierno Barry,Thierno,Barry,Thierno Barry,1398392,"[3, 1]",,"{'id': 2933713597, 'eventType': 'Goal', 'teamId': 8668, 'playerId': 1398392, 'playerName': 'Thierno Barry', 'x': 97.4736842099, 'y': 37.696, 'min': 81, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 34.22875, 'goalCrossedZ': 0.20547368320000003, 'expectedGoals': 0.7845888733863831, 'expectedGoalsOnTarget': 0.9850817918777466, 'shotType': 'RightFoot', 'situation': 'ThrowInSetPiece', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.9394841269841275, 'y': 0.05435811724867726, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 618878, 'firstName': 'Thierno', 'lastName': 'Barry', 'fullName': 'Thierno Barry', 'teamColor': '#00359C'}",,,Barry,35,8668,,,
1409467073Goal1098607undefinedtrue,73,Goal,73,,14094670,"{'id': 1098607, 'name': ""Jake O'Brien"", 'profileUrl': '/players/1098607/jake-obrien'}",1,1,/players/1098607/jake-obrien,False,True,,Header,header,,,False,Jake O'Brien,Jake,O'Brien,Jake O'Brien,1098607,"[2, 1]",,"{'id': 2933710573, 'eventType': 'Goal', 'teamId': 8668, 'playerId': 1098607, 'playerName': ""Jake O'Brien"", 'x': 101.681034483, 'y': 37.05, 'min': 73, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.745000000000005, 'goalCrossedZ': 1.9519999904, 'expectedGoals': 0.20237861573696136, 'expectedGoalsOnTarget': 0.912605345249176, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.2738095238095226, 'y': 0.5164021138624338, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 618878, 'firstName': 'Jake', 'lastName': ""O'Brien"", 'fullName': ""Jake O'Brien"", 'teamColor': '#00359C'}",assist by James Garner,/players/950474/james-garner,O'Brien,35,8668,950474.0,assist_by,James Garner
1409624945Goal961995undefinedtrue,45,Goal,45,,14096249,"{'id': 961995, 'name': 'Bukayo Saka', 'profileUrl': '/players/961995/bukayo-saka'}",0,0,1,1,/players/961995/bukayo-saka,False,True,,,,,,False,Bukayo Saka,Bukayo,Saka,Bukayo Saka,961995,"[1, 0]",,"{'id': 2934013227, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 961995, 'playerName': 'Bukayo Saka', 'x': 101.3017241382, 'y': 32.9325, 'min': 44, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.39875, 'goalCrossedZ': 0.3274736826, 'expectedGoals': 0.7544964551925659, 'expectedGoalsOnTarget': 0.750740647315979, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.4236111111111112, 'y': 0.08663324936507935, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 177126, 'firstName': 'Bukayo', 'lastName': 'Saka', 'fullName': 'Bukayo Saka', 'teamColor': '#bd0510'}",assist by Leandro Trossard,/players/318615/leandro-trossard,318615,assist_by,Leandro Trossard,Saka,1/2,9825
1409928290Goal194165undefinedtrue,90 + 4,Goal,90,4,14099282,"{'id': 194165, 'name': 'Harry Kane', 'profileUrl': '/players/194165/harry-kane'}",0,1,4,6,/players/194165/harry-kane,+4,True,,,,,,False,Harry Kane,Harry,Kane,Harry Kane,194165,"[1, 1]",,"{'id': 2934334793, 'eventType': 'Goal', 'teamId': 9823, 'playerId': 194165, 'playerName': 'Harry Kane', 'x': 93.7, 'y': 39.881190477, 'min': 90, 'minAdded': 4, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 35.448750000000004, 'goalCrossedZ': 2.0290526216, 'expectedGoals': 0.15552835166454315, 'expectedGoalsOnTarget': 0.6089101433753967, 'shotType': 'LeftFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.6167328042328032, 'y': 0.5367864078306878, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 800880, 'firstName': 'Harry', 'lastName': 'Kane', 'fullName': 'Harry Kane', 'teamColor': '#C60428'}",assist by Alphonso Davies,/players/751202/alphonso-davies,751202,assist_by,Alphonso Davies,Kane,1/2,9823
